"","Illumina.Probe.ID","Ensembl.Gene.ID","GeneSymbol_Human","Gene.Description","Chromosome","Gene.Start..bp.","Gene.End..bp.","Module"
"41","ILMN_1736340","ENSG00000174606","ANGEL2","angel homolog 2 (Drosophila) ","1"," 213,165,524 "," 213,189,168 ","M1"
"42","ILMN_1768202","ENSG00000089847","ANKRD24","ankyrin repeat domain 24 ","19"," 4,183,351 "," 4,224,811 ","M1"
"43","ILMN_2075643","ENSG00000154065","ANKRD29","ankyrin repeat domain 29 ","18"," 21,178,890 "," 21,242,849 ","M1"
"44","ILMN_1710979","ENSG00000213337","ANKRD39","ankyrin repeat domain 39 ","2"," 97,502,348 "," 97,523,832 ","M1"
"45","ILMN_2340974","ENSG00000185046","ANKS1B","ankyrin repeat and sterile alpha motif domain containing 1B ","12"," 99,120,235 "," 100,378,432 ","M1"
"46","ILMN_2049672","ENSG00000134343","ANO3","anoctamin 3 ","11"," 26,210,829 "," 26,684,835 ","M1"
"47","ILMN_2041101","ENSG00000182718","ANXA2","annexin A2 ","15"," 60,639,333 "," 60,695,082 ","M1"
"48","ILMN_1754114","ENSG00000254531","AP001816.1","Uncharacterized protein  ","4"," 102,268,937 "," 102,270,040 ","M1"
"49","ILMN_1712806","ENSG00000106367","AP1S1","adaptor-related protein complex 1, sigma 1 subunit ","7"," 100,797,678 "," 100,804,877 ","M1"
"50","ILMN_1803779","ENSG00000183020","AP2A2","adaptor-related protein complex 2, alpha 2 subunit ","11"," 924,894 "," 1,012,239 ","M1"
"51","ILMN_1679256","ENSG00000103723","AP3B2","adaptor-related protein complex 3, beta 2 subunit ","15"," 83,328,033 "," 83,378,666 ","M1"
"52","ILMN_1723626","ENSG00000034053","APBA2","amyloid beta (A4) precursor protein-binding, family A, member 2 ","15"," 29,129,629 "," 29,410,518 ","M1"
"53","ILMN_1740772","ENSG00000113108","APBB3","amyloid beta (A4) precursor protein-binding, family B, member 3 ","5"," 139,937,853 "," 139,973,337 ","M1"
"54","ILMN_1802106","ENSG00000239713","APOBEC3G","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G ","22"," 39,436,924 "," 39,483,748 ","M1"
"55","ILMN_1761793","ENSG00000100342","APOL1","apolipoprotein L, 1 ","22"," 36,649,056 "," 36,663,576 ","M1"
"56","ILMN_1802203","ENSG00000143761","ARF1","ADP-ribosylation factor 1 ","1"," 228,270,361 "," 228,286,912 ","M1"
"57","ILMN_1728471","ENSG00000066777","ARFGEF1","ADP-ribosylation factor guanine nucleotide-exchange factor 1 (brefeldin A-inhibited) ","8"," 68,085,747 "," 68,255,912 ","M1"
"58","ILMN_1750805","ENSG00000186517","ARHGAP30","Rho GTPase activating protein 30 ","1"," 161,016,736 "," 161,039,760 ","M1"
"59","ILMN_1722726","ENSG00000134909","ARHGAP32","Rho GTPase activating protein 32 ","11"," 128,834,955 "," 129,149,219 ","M1"
"60","ILMN_2065022","ENSG00000006740","ARHGAP44","Rho GTPase activating protein 44 ","17"," 12,692,856 "," 12,894,960 ","M1"
"61","ILMN_2049274","ENSG00000242173","ARHGDIG","Rho GDP dissociation inhibitor (GDI) gamma ","16"," 318,726 "," 333,003 ","M1"
"62","ILMN_1733861","ENSG00000132694","ARHGEF11","Rho guanine nucleotide exchange factor (GEF) 11 ","1"," 156,904,632 "," 157,015,162 ","M1"
"63","ILMN_1810712","ENSG00000196914","ARHGEF12","Rho guanine nucleotide exchange factor (GEF) 12 ","11"," 120,207,787 "," 120,360,645 ","M1"
"64","ILMN_1781010","ENSG00000163947","ARHGEF3","Rho guanine nucleotide exchange factor (GEF) 3 ","3"," 56,761,446 "," 57,113,357 ","M1"
"65","ILMN_1798587","ENSG00000102606","ARHGEF7","Rho guanine nucleotide exchange factor (GEF) 7 ","13"," 111,766,906 "," 111,958,084 ","M1"
"66","ILMN_1779370","ENSG00000131089","ARHGEF9","Cdc42 guanine nucleotide exchange factor (GEF) 9 ","X"," 62,854,847 "," 63,005,426 ","M1"
"67","ILMN_1774161","ENSG00000185305","ARL15","ADP-ribosylation factor-like 15 ","5"," 53,179,775 "," 53,606,412 ","M1"
"68","ILMN_1780444","ENSG00000138175","ARL3","ADP-ribosylation factor-like 3 ","10"," 104,433,488 "," 104,474,164 ","M1"
"69","ILMN_1800935","ENSG00000173409","ARV1","ARV1 homolog (S. cerevisiae) ","1"," 231,114,727 "," 231,136,341 ","M1"
"70","ILMN_1779685","ENSG00000108684","ASIC2","acid-sensing (proton-gated) ion channel 2 ","17"," 31,340,105 "," 32,501,983 ","M1"
"71","ILMN_2167426","ENSG00000128203","ASPHD2","aspartate beta-hydroxylase domain containing 2 ","22"," 26,825,239 "," 26,840,981 ","M1"
"72","ILMN_1684959","ENSG00000152092","ASTN1","astrotactin 1 ","1"," 176,826,438 "," 177,134,109 ","M1"
"73","ILMN_1725707","ENSG00000085978","ATG16L1","autophagy related 16-like 1 (S. cerevisiae) ","2"," 234,118,697 "," 234,204,320 ","M1"
"74","ILMN_2365881","ENSG00000085978","ATG16L1","autophagy related 16-like 1 (S. cerevisiae) ","2"," 234,118,697 "," 234,204,320 ","M1"
"75","ILMN_1689251","ENSG00000198513","ATL1","atlastin GTPase 1 ","14"," 50,999,227 "," 51,099,786 ","M1"
"76","ILMN_2381476","ENSG00000198513","ATL1","atlastin GTPase 1 ","14"," 50,999,227 "," 51,099,786 ","M1"
"77","ILMN_1731783","ENSG00000163399","ATP1A1","ATPase, Na+/K+ transporting, alpha 1 polypeptide ","1"," 116,915,290 "," 116,952,883 ","M1"
"78","ILMN_1658071","ENSG00000143153","ATP1B1","ATPase, Na+/K+ transporting, beta 1 polypeptide ","1"," 169,074,935 "," 169,101,960 ","M1"
"79","ILMN_2407824","ENSG00000143153","ATP1B1","ATPase, Na+/K+ transporting, beta 1 polypeptide ","1"," 169,074,935 "," 169,101,960 ","M1"
"80","ILMN_1687375","ENSG00000174437","ATP2A2","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 ","12"," 110,718,561 "," 110,788,898 ","M1"
"81","ILMN_1824297","ENSG00000070961","ATP2B1","ATPase, Ca++ transporting, plasma membrane 1 ","12"," 89,981,828 "," 90,103,077 ","M1"
"82","ILMN_1802223","ENSG00000157087","ATP2B2","ATPase, Ca++ transporting, plasma membrane 2 ","3"," 10,365,707 "," 10,749,716 ","M1"
"83","ILMN_2381938","ENSG00000157087","ATP2B2","ATPase, Ca++ transporting, plasma membrane 2 ","3"," 10,365,707 "," 10,749,716 ","M1"
"84","ILMN_1693481","ENSG00000067842","ATP2B3","ATPase, Ca++ transporting, plasma membrane 3 ","X"," 152,783,134 "," 152,848,397 ","M1"
"85","ILMN_1770466","ENSG00000154518","ATP5G3","ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9) ","2"," 176,040,986 "," 176,049,335 ","M1"
"86","ILMN_1752579","ENSG00000033627","ATP6V0A1","ATPase, H+ transporting, lysosomal V0 subunit a1 ","17"," 40,610,862 "," 40,674,629 ","M1"
"87","ILMN_1795826","ENSG00000159720","ATP6V0D1","ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1 ","16"," 67,471,917 "," 67,515,140 ","M1"
"88","ILMN_1785095","ENSG00000171130","ATP6V0E2","ATPase, H+ transporting V0 subunit e2 ","7"," 149,570,057 "," 149,577,784 ","M1"
"89","ILMN_1711516","ENSG00000114573","ATP6V1A","ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A ","3"," 113,465,866 "," 113,530,903 ","M1"
"90","ILMN_1787705","ENSG00000147416","ATP6V1B2","ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2 ","8"," 20,054,878 "," 20,084,330 ","M1"
"91","ILMN_1797310","ENSG00000100554","ATP6V1D","ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D ","14"," 67,761,088 "," 67,826,982 ","M1"
"92","ILMN_1798485","ENSG00000131100","ATP6V1E1","ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 ","22"," 18,074,902 "," 18,111,584 ","M1"
"93","ILMN_1654541","ENSG00000213760","ATP6V1G2","ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2 ","6"," 31,512,239 "," 31,516,204 ","M1"
"94","ILMN_2403730","ENSG00000047249","ATP6V1H","ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H ","8"," 54,628,117 "," 54,756,118 ","M1"
"95","ILMN_1705900","ENSG00000130638","ATXN10","ataxin 10 ","22"," 46,067,678 "," 46,241,187 ","M1"
"96","ILMN_1749081","ENSG00000158321","AUTS2","autism susceptibility candidate 2 ","7"," 69,063,905 "," 70,258,054 ","M1"
"97","ILMN_1771260","ENSG00000176383","B3GNT4","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4 ","12"," 122,688,090 "," 122,693,499 ","M1"
"98","ILMN_1805725","ENSG00000135454","B4GALNT1","beta-1,4-N-acetyl-galactosaminyl transferase 1 ","12"," 58,017,193 "," 58,027,138 ","M1"
"99","ILMN_1692267","ENSG00000158850","B4GALT3","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3 ","1"," 161,141,100 "," 161,147,287 ","M1"
"100","ILMN_1806937","ENSG00000105393","BABAM1","BRISC and BRCA1 A complex member 1 ","19"," 17,378,159 "," 17,392,058 ","M1"
"101","ILMN_1773109","ENSG00000121753","BAI2","brain-specific angiogenesis inhibitor 2 ","1"," 32,192,718 "," 32,230,494 ","M1"
"102","ILMN_1671076","ENSG00000135298","BAI3","brain-specific angiogenesis inhibitor 3 ","6"," 69,345,259 "," 70,099,403 ","M1"
"103","ILMN_1699727","ENSG00000175866","BAIAP2","BAI1-associated protein 2 ","17"," 79,008,948 "," 79,091,232 ","M1"
"104","ILMN_2258749","ENSG00000175866","BAIAP2","BAI1-associated protein 2 ","17"," 79,008,948 "," 79,091,232 ","M1"
"105","ILMN_1651826","ENSG00000176788","BASP1","brain abundant, membrane attached signal protein 1 ","5"," 17,065,707 "," 17,276,943 ","M1"
"106","ILMN_1808059","ENSG00000124243","BCAS4","breast carcinoma amplified sequence 4 ","20"," 49,411,431 "," 49,493,714 ","M1"
"107","ILMN_2325506","ENSG00000124243","BCAS4","breast carcinoma amplified sequence 4 ","20"," 49,411,431 "," 49,493,714 ","M1"
"108","ILMN_2390453","ENSG00000083123","BCKDHB","branched chain keto acid dehydrogenase E1, beta polypeptide ","6"," 80,816,364 "," 81,055,987 ","M1"
"109","ILMN_1659800","ENSG00000119866","BCL11A","B-cell CLL/lymphoma 11A (zinc finger protein) ","2"," 60,678,302 "," 60,780,702 ","M1"
"110","ILMN_2342271","ENSG00000119866","BCL11A","B-cell CLL/lymphoma 11A (zinc finger protein) ","2"," 60,678,302 "," 60,780,702 ","M1"
"111","ILMN_1665761","ENSG00000127152","BCL11B","B-cell CLL/lymphoma 11B (zinc finger protein) ","14"," 99,635,624 "," 99,737,861 ","M1"
"112","ILMN_1801119","ENSG00000171791","BCL2","B-cell CLL/lymphoma 2 ","18"," 60,790,579 "," 60,987,361 ","M1"
"113","ILMN_2371147","ENSG00000099385","BCL7C","B-cell CLL/lymphoma 7C ","16"," 30,844,947 "," 30,906,281 ","M1"
"114","ILMN_1706969","ENSG00000151917","BEND6","BEN domain containing 6 ","6"," 56,819,773 "," 56,892,140 ","M1"
"115","ILMN_1806473","ENSG00000184515","BEX5","brain expressed, X-linked 5 ","X"," 101,408,680 "," 101,411,029 ","M1"
"116","ILMN_1699585","ENSG00000180828","BHLHE22","basic helix-loop-helix family, member e22 ","8"," 65,492,814 "," 65,496,181 ","M1"
"117","ILMN_1776352","ENSG00000188428","BLOC1S5","biogenesis of lysosomal organelles complex-1, subunit 5, muted ","6"," 8,013,800 "," 8,064,647 ","M1"
"118","ILMN_1789095","ENSG00000204217","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase) ","2"," 203,241,659 "," 203,432,474 ","M1"
"119","ILMN_1786658","ENSG00000163170","BOLA3","bolA homolog 3 (E. coli) ","2"," 74,362,525 "," 74,375,121 ","M1"
"120","ILMN_1778684","ENSG00000158019","BRE","brain and reproductive organ-expressed (TNFRSF1A modulator) ","2"," 28,112,808 "," 28,561,768 ","M1"
"121","ILMN_1665554","ENSG00000104221","BRF2","BRF2, RNA polymerase III transcription initiation factor 50 kDa subunit ","8"," 37,700,786 "," 37,707,422 ","M1"
"122","ILMN_1775943","ENSG00000100916","BRMS1L","breast cancer metastasis-suppressor 1-like ","14"," 36,295,524 "," 36,401,531 ","M1"
"123","ILMN_1774596","ENSG00000168000","BSCL2","Berardinelli-Seip congenital lipodystrophy 2 (seipin) ","11"," 62,457,747 "," 62,477,317 ","M1"
"124","ILMN_1760246","ENSG00000164061","BSN","bassoon presynaptic cytomatrix protein ","3"," 49,591,922 "," 49,708,978 ","M1"
"125","ILMN_1815718","ENSG00000166167","BTRC","beta-transducin repeat containing E3 ubiquitin protein ligase ","10"," 103,113,820 "," 103,317,078 ","M1"
"126","ILMN_1682792","ENSG00000112578","BYSL","bystin-like ","6"," 41,888,926 "," 41,900,784 ","M1"
"127","ILMN_1676548","ENSG00000136261","BZW2","basic leucine zipper and W2 domains 2 ","7"," 16,685,756 "," 16,746,148 ","M1"
"128","ILMN_1783247","ENSG00000148655","C10orf11","chromosome 10 open reading frame 11 ","10"," 77,360,998 "," 78,319,925 ","M1"
"129","ILMN_1810376","ENSG00000185742","C11orf87","chromosome 11 open reading frame 87 ","11"," 109,292,846 "," 109,299,840 ","M1"
"130","ILMN_1751898","ENSG00000047621","C12orf4","chromosome 12 open reading frame 4 ","12"," 4,596,894 "," 4,647,674 ","M1"
"131","ILMN_1667857","ENSG00000139405","C12orf52","chromosome 12 open reading frame 52 ","12"," 113,623,331 "," 113,630,173 ","M1"
"132","ILMN_1672121","ENSG00000177875","C12orf68","chromosome 12 open reading frame 68 ","12"," 48,577,366 "," 48,579,709 ","M1"
"133","ILMN_1779428","ENSG00000177875","C12orf68","chromosome 12 open reading frame 68 ","12"," 48,577,366 "," 48,579,709 ","M1"
"134","ILMN_1753265","ENSG00000174456","C12orf76","chromosome 12 open reading frame 76 ","12"," 110,465,872 "," 110,511,491 ","M1"
"135","ILMN_2152429","ENSG00000174456","C12orf76","chromosome 12 open reading frame 76 ","12"," 110,465,872 "," 110,511,491 ","M1"
"136","ILMN_1713744","ENSG00000227051","C14orf132","chromosome 14 open reading frame 132 ","14"," 96,505,661 "," 96,560,417 ","M1"
"137","ILMN_1811264","ENSG00000128891","C15orf57","chromosome 15 open reading frame 57 ","15"," 40,820,882 "," 40,857,256 ","M1"
"138","ILMN_1687821","ENSG00000166780","C16orf45","chromosome 16 open reading frame 45 ","16"," 15,528,152 "," 15,718,885 ","M1"
"139","ILMN_1685289","ENSG00000140688","C16orf58","chromosome 16 open reading frame 58 ","16"," 31,500,792 "," 31,520,630 ","M1"
"140","ILMN_1711703","ENSG00000125149","C16orf70","chromosome 16 open reading frame 70 ","16"," 67,143,861 "," 67,182,442 ","M1"
"141","ILMN_1759325","ENSG00000174109","C16orf91","chromosome 16 open reading frame 91 ","16"," 1,469,745 "," 1,479,345 ","M1"
"142","ILMN_2179726","ENSG00000196118","C16orf93","chromosome 16 open reading frame 93 ","16"," 30,768,744 "," 30,774,031 ","M1"
"143","ILMN_1751569","ENSG00000178965","C1orf173","chromosome 1 open reading frame 173 ","1"," 75,033,795 "," 75,139,422 ","M1"
"144","ILMN_1808122","ENSG00000172247","C1QTNF4","C1q and tumor necrosis factor related protein 4 ","11"," 47,611,216 "," 47,616,211 ","M1"
"145","ILMN_1780283","ENSG00000171695","C20orf201","chromosome 20 open reading frame 201 ","20"," 62,714,733 "," 62,715,712 ","M1"
"146","ILMN_1759595","ENSG00000215012","C22orf29","chromosome 22 open reading frame 29 ","22"," 19,833,661 "," 19,842,419 ","M1"
"147","ILMN_1804884","ENSG00000242259","C22orf39","chromosome 22 open reading frame 39 ","22"," 19,338,891 "," 19,435,755 ","M1"
"148","ILMN_1778132","ENSG00000172375","C2CD2L","C2CD2-like ","11"," 118,972,908 "," 118,989,252 ","M1"
"149","ILMN_1795007","ENSG00000162972","C2orf47","chromosome 2 open reading frame 47 ","2"," 200,820,040 "," 200,873,263 ","M1"
"150","ILMN_1813236","ENSG00000204564","C6orf136","chromosome 6 open reading frame 136 ","6"," 30,614,816 "," 30,620,987 ","M1"
"151","ILMN_1770030","ENSG00000146826","C7orf43","chromosome 7 open reading frame 43 ","7"," 99,752,043 "," 99,756,338 ","M1"
"152","ILMN_1740903","ENSG00000122783","C7orf49","chromosome 7 open reading frame 49 ","7"," 134,777,115 "," 134,855,547 ","M1"
"153","ILMN_1723709","ENSG00000160345","C9orf116","chromosome 9 open reading frame 116 ","9"," 138,387,027 "," 138,393,580 ","M1"
"154","ILMN_2329569","ENSG00000160345","C9orf116","chromosome 9 open reading frame 116 ","9"," 138,387,027 "," 138,393,580 ","M1"
"155","ILMN_1782618","ENSG00000171159","C9orf16","chromosome 9 open reading frame 16 ","9"," 130,922,539 "," 130,926,207 ","M1"
"156","ILMN_1665856","ENSG00000154975","CA10","carbonic anhydrase X ","17"," 49,707,674 "," 50,237,377 ","M1"
"157","ILMN_1761789","ENSG00000168748","CA7","carbonic anhydrase VII ","16"," 66,878,282 "," 66,888,056 ","M1"
"158","ILMN_1765858","ENSG00000135932","CAB39","calcium binding protein 39 ","2"," 231,577,560 "," 231,685,790 ","M1"
"159","ILMN_2412139","ENSG00000154040","CABYR","calcium binding tyrosine-(Y)-phosphorylation regulated ","18"," 21,718,942 "," 21,741,567 ","M1"
"160","ILMN_1666775","ENSG00000151067","CACNA1C","calcium channel, voltage-dependent, L type, alpha 1C subunit ","12"," 2,079,952 "," 2,802,108 ","M1"
"161","ILMN_1664047","ENSG00000198216","CACNA1E","calcium channel, voltage-dependent, R type, alpha 1E subunit ","1"," 181,382,238 "," 181,777,219 ","M1"
"162","ILMN_1671263","ENSG00000196557","CACNA1H","calcium channel, voltage-dependent, T type, alpha 1H subunit ","16"," 1,203,241 "," 1,271,771 ","M1"
"163","ILMN_2397188","ENSG00000196557","CACNA1H","calcium channel, voltage-dependent, T type, alpha 1H subunit ","16"," 1,203,241 "," 1,271,771 ","M1"
"164","ILMN_2300664","ENSG00000100346","CACNA1I","calcium channel, voltage-dependent, T type, alpha 1I subunit ","22"," 39,966,758 "," 40,085,742 ","M1"
"165","ILMN_1769492","ENSG00000166862","CACNG2","calcium channel, voltage-dependent, gamma subunit 2 ","22"," 36,959,968 "," 37,099,603 ","M1"
"166","ILMN_1768758","ENSG00000006116","CACNG3","calcium channel, voltage-dependent, gamma subunit 3 ","16"," 24,266,874 "," 24,374,122 ","M1"
"167","ILMN_1701827","ENSG00000162706","CADM3","cell adhesion molecule 3 ","1"," 159,141,399 "," 159,173,103 ","M1"
"168","ILMN_1665547","ENSG00000163618","CADPS","Ca++-dependent secretion activator ","3"," 62,384,022 "," 62,861,054 ","M1"
"169","ILMN_1684461","ENSG00000081803","CADPS2","Ca++-dependent secretion activator 2 ","7"," 121,958,481 "," 122,526,813 ","M1"
"170","ILMN_1666385","ENSG00000160014","CALM3","calmodulin 3 (phosphorylase kinase, delta) ","19"," 47,104,331 "," 47,114,050 ","M1"
"171","ILMN_1771622","ENSG00000130643","CALY","calcyon neuron-specific vesicular protein ","10"," 135,138,927 "," 135,150,475 ","M1"
"172","ILMN_1906187","ENSG00000183049","CAMK1D","calcium/calmodulin-dependent protein kinase ID ","10"," 12,391,481 "," 12,877,545 ","M1"
"173","ILMN_1804339","ENSG00000008118","CAMK1G","calcium/calmodulin-dependent protein kinase IG ","1"," 209,757,062 "," 209,787,283 ","M1"
"174","ILMN_1666445","ENSG00000070808","CAMK2A","calcium/calmodulin-dependent protein kinase II alpha ","5"," 149,599,054 "," 149,669,854 ","M1"
"175","ILMN_1663397","ENSG00000058404","CAMK2B","calcium/calmodulin-dependent protein kinase II beta ","7"," 44,256,749 "," 44,374,176 ","M1"
"176","ILMN_1763027","ENSG00000058404","CAMK2B","calcium/calmodulin-dependent protein kinase II beta ","7"," 44,256,749 "," 44,374,176 ","M1"
"177","ILMN_1660633","ENSG00000163888","CAMK2N2","calcium/calmodulin-dependent protein kinase II inhibitor 2 ","3"," 183,977,001 "," 183,979,251 ","M1"
"178","ILMN_1667381","ENSG00000164076","CAMKV","CaM kinase-like vesicle-associated ","3"," 49,895,421 "," 49,907,655 ","M1"
"179","ILMN_1714599","ENSG00000164615","CAMLG","calcium modulating ligand ","5"," 134,074,191 "," 134,087,847 ","M1"
"180","ILMN_1811957","ENSG00000130559","CAMSAP1","calmodulin regulated spectrin-associated protein 1 ","9"," 138,700,333 "," 138,799,074 ","M1"
"181","ILMN_1792660","ENSG00000118200","CAMSAP2","calmodulin regulated spectrin-associated protein family, member 2 ","1"," 200,708,686 "," 200,829,832 ","M1"
"182","ILMN_1809208","ENSG00000076826","CAMSAP3","calmodulin regulated spectrin-associated protein family, member 3 ","19"," 7,660,788 "," 7,683,190 ","M1"
"183","ILMN_1661940","ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1 ","1"," 6,845,384 "," 7,829,766 ","M1"
"184","ILMN_2073592","ENSG00000144712","CAND2","cullin-associated and neddylation-dissociated 2 (putative) ","3"," 12,837,971 "," 12,913,415 ","M1"
"185","ILMN_1691237","ENSG00000112186","CAP2","CAP, adenylate cyclase-associated protein, 2 (yeast) ","6"," 17,393,447 "," 17,558,023 ","M1"
"186","ILMN_1681118","ENSG00000110888","CAPRIN2","caprin family member 2 ","12"," 30,862,486 "," 30,907,885 ","M1"
"187","ILMN_1768870","ENSG00000198898","CAPZA2","capping protein (actin filament) muscle Z-line, alpha 2 ","7"," 116,451,124 "," 116,559,315 ","M1"
"188","ILMN_1680134","ENSG00000142453","CARM1","coactivator-associated arginine methyltransferase 1 ","19"," 10,982,189 "," 11,033,453 ","M1"
